Title,Location,Price,Area
                        Apartment Rustenburgerstraat                            ,            1072 HD Amsterdam (Nieuwe Pijp)        ,"                2,150 per month            ",55 m
                        House Maaseikstraat 28                            ,            1066 LX Amsterdam (Sloter-/Riekerpolder)        ,"                2,500 per month            ",91 m
                        Apartment Reguliersdwarsstraat                            ,            1017 BJ Amsterdam (Grachtengordel-Zuid)        ,"                2,350 per month            ",67 m
                        Apartment Haarlemmermeerstraat 146 1                            ,            1058 KJ Amsterdam (Hoofddorppleinbuurt)        ,"                1,975 per month            ",55 m
                        Apartment Jan Vrijmanstraat 333                            ,            1087 NB Amsterdam (IJburg Zuid)        ,"                1,609 per month            ",101 m
                        Apartment Waverstraat                            ,            1079 VJ Amsterdam (Rijnbuurt)        ,"                1,850 per month            ",55 m
                        House Stade de Colombes                            ,            1098 VS Amsterdam (Middenmeer)        ,"                3,500 per month            ",232 m
                        Apartment KNSM-laan                            ,            1019 LH Amsterdam (Oostelijk Havengebied)        ,"                2,500 per month            ",107 m
                        House Bonairestraat                            ,            1058 XE Amsterdam (Westindische Buurt)        ,"                2,700 per month            ",85 m
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                4,950 per month            ",155 m
                        Apartment Anne Frankstraat 79 IV                            ,            1018 DM Amsterdam (Weesperbuurt/Plantage)        ,"                2,500 per month            ",86 m
                        Apartment Zeeburgerkade                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                2,250 per month            ",101 m
                        Apartment Jan van Riebeekstraat 15 3                            ,            1057 ZW Amsterdam (Chassébuurt)        ,"                1,595 per month            ",54 m
                        Apartment Archimedeslaan 55                            ,            1098 PX Amsterdam (Middenmeer)        ,"                2,200 per month            ",92 m
                        Apartment Muntplein                            ,            1012 WR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                1,800 per month            ",65 m
                        Apartment Pieter Baststraat 30 1                            ,            1071 TX Amsterdam (Museumkwartier)        ,"                1,600 per month            ",40 m
                        Apartment Keizersgracht                            ,            1017 DS Amsterdam (Grachtengordel-Zuid)        ,"                2,000 per month            ",70 m
                        Apartment Nieuwezijds Voorburgwal 329 A                            ,            1012 RM Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                2,150 per month            ",78 m
                        Apartment Magalhaensstraat                            ,            1057 RV Amsterdam (Hoofdweg e.o.)        ,"                1,650 per month            ",52 m
                        Apartment Admiralengracht                            ,            1057 GH Amsterdam (Chassébuurt)        ,"                1,850 per month            ",55 m
                        Apartment Amstelveenseweg 162 C                            ,            1075 XN Amsterdam (Schinkelbuurt)        ,"                3,000 per month            ",120 m
                        Apartment De Boelelaan 315                            ,            1082 RD Amsterdam (Buitenveldert-West)        ,"                2,350 per month            ",85 m
                        Apartment Singel                            ,            1016 AH Amsterdam (Grachtengordel-West)        ,"                2,600 per month            ",80 m
                        Apartment Dufaystraat 3 2                            ,            1075 GR Amsterdam (Willemspark)        ,"                1,950 per month            ",51 m
                        Apartment Ophemerthof 57                            ,            1106 VW Amsterdam (Holendrecht/Reigersbos)        ,"                1,600 per month            ",60 m
                        Apartment Goudsbloemstraat 183 III                            ,            1015 JN Amsterdam (Jordaan)        ,"                1,950 per month            ",60 m
                        Apartment Pienemanstraat                            ,            1072 KE Amsterdam (Nieuwe Pijp)        ,"                2,450 per month            ",85 m
                        Apartment Marnixstraat                            ,            1015 VE Amsterdam (Jordaan)        ,"                2,100 per month            ",65 m
                        Apartment Rustenburgerstraat                            ,            1073 EW Amsterdam (Nieuwe Pijp)        ,"                1,950 per month            ",50 m
                        Apartment Zocherstraat 59 II*                            ,            1054 LT Amsterdam (Overtoomse Sluis)        ,"                2,200 per month            ",85 m
